Row Labels,1,2,3
24,0,0,0
54,0,0,0
161,0,0,0
200,1,0,1
201,1,0,1
202,0,0,0
203,0,1,1
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,1
209,0,0,1
210,0,0,1
211,0,0,0
212,0,0,1
213,0,0,0
214,0,0,0
215,0,1,1
216,0,0,0
217,1,0,0
218,1,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,1,0,1
225,0,0,0
226,1,1,1
227,1,0,0
228,0,0,0
229,0,0,0
230,0,1,0
231,1,1,0
232,0,0,0
233,0,0,0
234,0,0,0
240,0,0,0
256,0,0,0
258,1,0,0
259,0,0,0
260,0,1,0
261,1,0,0
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,0,1
267,0,0,0
268,0,0,1
269,0,0,0
270,0,0,0
271,0,0,0
272,1,0,0
273,0,0,0
274,0,0,1
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
281,0,0,0
282,1,0,0
283,1,0,0
284,1,0,0
285,1,0,0
286,0,0,0
287,0,1,0
288,0,0,0
289,0,0,0
290,0,0,1
291,0,0,1
292,0,1,0
293,0,1,0
294,0,0,0
295,0,0,1
296,0,0,0
297,0,1,0
298,0,0,0
299,1,1,0
300,1,0,1
302,0,0,0
304,0,0,1
310,0,0,0
317,1,0,0
320,1,0,0
321,1,1,0
322,1,0,0
325,0,0,1
330,1,0,0
332,0,0,0
336,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
345,0,0,0
346,0,0,0
348,0,1,0
349,1,0,0
356,0,0,0
357,0,0,0
359,0,0,0
362,0,0,0
364,0,0,0
365,0,0,0
370,1,0,1
371,0,0,0
374,0,0,0
379,0,0,0
380,0,0,0
381,0,0,0
386,0,0,0
387,0,0,0
392,0,0,0
397,1,0,0
408,0,0,0
418,0,0,0
419,0,0,0
424,0,0,0
425,0,0,0
426,0,0,0
428,0,0,0
429,0,0,0
431,0,0,0
435,0,0,0
436,0,0,0
437,0,0,0
441,0,0,0
442,0,0,0
443,0,0,0
444,0,0,1
445,1,1,0
446,0,0,1
448,1,0,0
450,0,1,0
453,0,0,0
454,0,0,0
455,0,0,0
457,0,0,0
458,0,1,0
459,1,0,0
460,1,0,0
462,0,0,0
463,0,0,0
464,0,1,0
466,1,0,0
467,0,1,1
468,1,0,0
470,1,0,0
481,0,0,0
486,0,0,0
491,0,0,0
493,0,0,0
496,0,0,0
498,0,0,1
499,1,0,0
502,0,0,0
503,1,0,1
504,0,0,0
505,0,0,0
507,1,0,0
508,0,1,1
509,1,0,0
510,0,0,0
513,0,0,0
516,0,0,0
520,0,0,0
521,0,0,0
522,0,0,0
524,0,0,0
530,1,0,0
539,0,0,0
546,0,0,0
554,0,0,0
556,1,0,1
557,0,1,1
559,0,0,0
561,0,0,0
564,0,0,0
570,0,0,0
588,0,0,0
595,0,0,1
597,0,0,0
608,1,0,0
611,0,0,0
617,0,0,0
626,0,0,0
627,0,1,0
629,0,0,0
635,0,0,0
638,0,0,0
645,0,0,0
659,0,0,0
666,1,1,0
668,1,1,0
669,0,0,0
671,1,0,0
672,1,0,0
676,1,0,0
678,0,1,0
679,0,0,0
680,0,1,0
681,0,0,0
682,0,1,1
683,0,1,1
684,1,0,0
685,0,1,0
686,0,0,0
687,0,0,0
688,0,0,0
692,0,0,0
693,1,0,0
695,0,1,1
696,0,0,0
701,0,0,1
702,0,0,0
704,0,1,0
705,0,0,0
709,0,0,0
710,0,0,0
712,0,0,0
713,0,0,1
716,1,1,0
717,0,0,0
718,1,0,0
719,0,0,0
721,0,0,1
723,0,0,0
724,1,0,0
725,0,1,0
726,0,0,0
727,0,0,0
728,1,0,0
729,0,0,1
730,1,0,0
731,1,0,1
732,0,0,0
733,1,0,1
734,0,0,0
736,1,0,0
737,0,0,0
738,0,0,0
739,0,0,0
741,0,0,0
742,0,0,0
743,0,0,0
744,1,0,0
745,0,0,0
747,0,0,1
748,1,0,0
749,0,0,1
751,0,0,0
752,0,0,1
753,0,1,0
754,1,0,0
755,1,0,0
756,0,0,0
758,0,1,0
759,1,0,1
760,0,1,0
761,0,0,0
762,0,0,1
765,0,0,0
766,0,0,0
767,0,0,0
768,0,0,0
769,0,1,1
770,0,0,0
771,0,0,0
772,0,0,0
773,0,0,0
774,1,0,0
775,0,0,1
776,0,0,0
777,1,0,0
778,0,1,0
779,0,0,1
780,1,0,0
781,0,0,0
782,0,0,0
783,0,0,0
784,0,0,0
785,0,1,0
786,0,0,0
787,0,0,0
788,0,0,0
789,0,1,0
790,0,0,0
791,0,1,0
792,0,0,0
793,0,0,0
794,0,0,0
795,0,0,0
796,0,0,0
797,0,1,0
798,0,0,0
799,1,0,0
800,1,0,0
802,0,0,0
803,0,0,0
804,0,0,0
805,0,0,0
806,0,0,0
807,1,0,0
808,0,0,0
809,0,0,1
810,0,1,0
811,1,0,0
812,0,0,0
814,0,0,1
815,1,0,0
816,0,0,0
817,0,0,0
818,0,0,0
819,0,0,0
820,0,0,0
821,0,0,0
831,0,0,0
833,0,0,0
834,0,0,1
835,0,0,0
836,0,0,0
837,0,0,0
838,0,0,0
839,0,0,0
840,1,1,0
841,0,0,0
842,0,0,0
843,0,0,0
844,0,0,0
845,0,0,0
846,1,0,0
847,0,0,0
848,1,0,0
849,1,0,0
850,0,0,0
851,0,0,0
852,0,0,0
853,0,0,0
854,0,0,0
855,0,0,0
856,1,1,0
857,0,0,0
858,0,0,1
859,0,1,0
860,0,0,0
862,0,0,0
863,0,0,0
872,1,0,0
873,1,0,0
874,1,0,0
875,1,0,0
876,1,0,0
877,1,1,0
878,1,0,0
879,1,0,0
880,0,0,0
881,1,0,0
882,1,0,1
883,1,0,1
884,1,0,0
885,1,0,0
886,1,0,0
887,1,0,0
888,1,0,0
889,1,0,0
890,1,0,0
891,1,0,0
892,1,0,0
893,1,0,0
894,1,1,1
895,0,0,0
898,0,0,0
902,0,0,0
906,0,0,0
907,0,0,0
909,0,0,0
918,0,0,0
920,0,0,0
922,0,0,0
923,0,0,0
924,0,1,0
925,0,1,0
926,0,1,0
927,0,1,0
928,0,1,0
929,0,1,0
930,0,1,0
931,0,1,0
932,0,1,0
933,0,1,0
934,0,1,0
935,0,1,0
936,0,1,1
937,0,1,0
938,0,1,0
939,0,1,0
940,0,1,0
941,0,1,0
942,0,1,1
948,0,0,0
952,0,0,0
957,0,0,0
961,0,0,0
962,0,0,0
963,0,0,0
964,0,0,0
965,0,0,0
966,0,0,0
969,0,0,0
970,0,0,0
971,0,0,0
972,0,0,0
975,0,0,0
976,0,0,0
978,0,0,0
980,0,0,0
981,0,0,0
982,0,0,0
983,0,0,0
984,0,0,0
